"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Silent",16020263,17313052,4630873,1078785,1674445,3490129,2174920,4263899,1292788,859157,323243,110388
"1989:Q3","BabyBoom",4323106,6115429,2220898,774657,373169,981387,791181,974137,1792324,1332221,433082,27021
"1989:Q3","GenX",76534,123998,40181,42908,3850,1678,12315,23066,47464,19312,27881,270
"1989:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1989:Q4","Silent",16131607,17457859,4635921,1076978,1699818,3583853,2165646,4295643,1326252,891133,323474,111644
"1989:Q4","BabyBoom",4475273,6283409,2213970,798606,409415,1001673,820959,1038785,1808136,1332334,450274,25527
"1989:Q4","GenX",197426,269773,144426,50191,4318,15868,19190,35780,72346,36649,35536,161
"1989:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q1","Silent",16440706,17781741,4806996,1090868,1690711,3595326,2233981,4363859,1341035,914924,311672,114439
"1990:Q1","BabyBoom",4406474,6260392,2241099,814922,303903,1062899,790818,1046751,1853918,1387315,439311,27292
"1990:Q1","GenX",95144,169256,50038,61339,0,22088,0,35791,74112,32673,41337,102
"1990:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q2","Silent",16544670,17909290,4724935,1085537,1809128,3622995,2291800,4374896,1364619,939569,310040,115010
"1990:Q2","BabyBoom",4448647,6303272,2249278,836329,255139,1142277,741681,1078567,1854625,1386369,441695,26560
"1990:Q2","GenX",178248,294827,162655,70645,0,21515,0,40013,116580,69472,46977,131
"1990:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q3","Silent",16757517,18128874,4839584,1098347,1701542,3546373,2398719,4544308,1371357,957561,301453,112343
"1990:Q3","BabyBoom",4150186,6077037,2303384,843471,15548,1242621,653771,1018242,1926851,1445259,459837,21755
"1990:Q3","GenX",110918,205895,43270,74428,0,49265,0,38933,94977,43917,51012,49
"1990:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1990:Q4","Silent",16904447,18297017,4896440,1108872,1760147,3701132,2285653,4544772,1392569,978099,300168,114303
"1990:Q4","BabyBoom",4453160,6426001,2274688,850541,169950,1225635,778887,1126301,1972841,1486212,462536,24094
"1990:Q4","GenX",82540,169288,0,79707,0,29930,0,59651,86748,24945,61688,116
"1990:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q1","Silent",16816409,18226037,4794791,1106793,1818372,3941429,2092733,4471919,1409628,999894,294057,115677
"1991:Q1","BabyBoom",4998217,6957844,2336754,868785,421661,1141104,952847,1236694,1959627,1496751,437304,25572
"1991:Q1","GenX",182271,285793,81304,92251,0,0,29246,82993,103522,32507,70846,168
"1991:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q2","Silent",16924127,18343460,4758694,1109725,1870707,3972955,2143617,4487762,1419333,1016285,288184,114863
"1991:Q2","BabyBoom",4924608,6914670,2387040,878090,353354,1183675,907658,1204852,1990061,1527924,437353,24784
"1991:Q2","GenX",190060,311889,105479,95892,0,23914,10682,75923,121829,45904,75769,157
"1991:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q3","Silent",17203441,18633491,4869991,1128719,1967614,4071375,2124137,4471655,1430051,1023621,287173,119256
"1991:Q3","BabyBoom",4983577,7018962,2413684,877469,413412,1190966,899002,1224428,2035385,1566049,439477,29859
"1991:Q3","GenX",132162,232515,0,97255,0,38599,15598,81064,100353,24297,75849,207
"1991:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1991:Q4","Silent",17165399,18615923,4787750,1135946,2042926,4238825,2003901,4406575,1450524,1037563,288734,124228
"1991:Q4","BabyBoom",5494367,7568064,2511216,883053,697193,1175118,973285,1328200,2073697,1591472,446009,36215
"1991:Q4","GenX",261003,380440,50147,98390,69809,19880,48663,93550,119437,38321,80838,278
"1991:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q1","Silent",17201275,18651643,4717333,1129652,2075129,4229730,2069177,4430621,1450369,1047309,280046,123014
"1992:Q1","BabyBoom",5531855,7586820,2559562,900005,636664,1297038,931509,1262043,2054965,1582412,437962,34590
"1992:Q1","GenX",283126,436802,168732,102438,40407,14043,31668,79513,153675,78000,75344,331
"1992:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q2","Silent",17399146,18859283,4708913,1130050,2177529,4229874,2170710,4442208,1460137,1058364,277037,124736
"1992:Q2","BabyBoom",5444147,7509206,2553595,915691,573854,1425398,822209,1218460,2065059,1584250,441558,39251
"1992:Q2","GenX",263856,436658,216027,107338,3718,19174,17301,73100,172802,98081,73737,984
"1992:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q3","Silent",17736288,19204905,4819092,1159003,2254772,4279557,2248904,4443577,1468617,1073623,273843,121150
"1992:Q3","BabyBoom",5524470,7667749,2636889,911344,619034,1524273,745857,1230352,2143279,1653420,447032,42827
"1992:Q3","GenX",195136,345569,108007,101195,6564,22168,20879,86756,150433,68283,81057,1093
"1992:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1992:Q4","Silent",17589682,19051404,4815987,1156449,2271312,4330820,2078499,4398337,1461722,1060835,275717,125170
"1992:Q4","BabyBoom",6143090,8329217,2714391,920732,873416,1638901,894215,1287562,2186127,1687088,459330,39709
"1992:Q4","GenX",323111,506453,112603,116074,107980,21748,37514,110534,183342,92430,89722,1190
"1992:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q1","Silent",17325705,18775585,4523108,1116164,2319953,4388821,2036791,4390747,1449881,1048227,270333,131321
"1993:Q1","BabyBoom",6434512,8550970,2712627,955061,930324,1682854,965658,1304445,2116458,1630817,443798,41843
"1993:Q1","GenX",610182,880140,418321,135175,126872,58311,43293,98169,269958,175144,93131,1683
"1993:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q2","Silent",17402306,18839540,4534707,1121207,2334559,4414800,2017635,4416633,1437234,1038087,266934,132213
"1993:Q2","BabyBoom",6620644,8792774,2810318,966042,971569,1751460,1020609,1272776,2172130,1681909,449459,40762
"1993:Q2","GenX",601705,893479,398880,149002,138035,73357,38473,95732,291774,187832,102269,1673
"1993:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q3","Silent",17573325,19008925,4594625,1134146,2390773,4447396,2011132,4430853,1435599,1032108,266287,137204
"1993:Q3","BabyBoom",6837897,9091241,2902968,972559,1059187,1829181,1060210,1267135,2253344,1746041,460967,46336
"1993:Q3","GenX",590098,887070,334540,159174,162271,85704,39768,105613,296972,179867,115413,1691
"1993:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q4","Silent",17618899,19053416,4550241,1132703,2426584,4490282,1988044,4465562,1434517,1024168,269752,140598
"1993:Q4","BabyBoom",7126051,9438031,2982159,992882,1169601,1898393,1117926,1277070,2311980,1772611,489374,49995
"1993:Q4","GenX",673186,1004571,389126,176493,193767,71722,46234,127230,331385,202399,127043,1942
"1993:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q1","Silent",17633290,19051141,4366651,1110435,2454896,4437801,2102402,4578956,1417851,1015067,261270,141514
"1994:Q1","BabyBoom",7192278,9491136,3026644,1022853,1038469,2012761,1095976,1294433,2298858,1760194,487298,51366
"1994:Q1","GenX",733419,1124959,590718,192749,130262,91975,15038,104216,391540,254208,135308,2023
"1994:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q2","Silent",18001894,19414368,4342853,1111226,2595331,4383290,2275480,4706188,1412475,1007936,261908,142631
"1994:Q2","BabyBoom",7025018,9375540,3092762,1041399,895788,2129417,997282,1218891,2350522,1786041,511434,53047
"1994:Q2","GenX",691186,1119486,634553,206924,53219,129798,0,94993,428299,280646,145238,2416
"1994:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q3","Silent",18347408,19761212,4434739,1130386,2703801,4400814,2340832,4750640,1413804,1006273,265775,141756
"1994:Q3","BabyBoom",7093767,9527280,3162108,1049120,883336,2229039,966689,1236987,2433512,1843698,536584,53230
"1994:Q3","GenX",602836,1034189,550691,216993,25868,139982,0,100655,431353,271078,157594,2681
"1994:Q3","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q4","Silent",18701636,20121138,4490876,1138735,2807809,4339379,2489125,4855214,1419503,1003915,269156,146431
"1994:Q4","BabyBoom",7003884,9523923,3190308,1060387,766101,2356823,870733,1279571,2520039,1878300,581739,60001
"1994:Q4","GenX",529777,987085,524874,225041,0,127801,0,109369,457308,283725,170273,3310
"1994:Q4","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q1","Silent",18960002,20376884,4465511,1146827,2959807,4437062,2523260,4844418,1416882,1002176,271058,143648
"1995:Q1","BabyBoom",7218995,9752764,3235571,1075339,839587,2396161,883112,1322993,2533769,1900028,573698,60043
"1995:Q1","GenX",580289,1053477,550989,238533,0,147800,0,116155,473188,289722,179790,3676
"1995:Q1","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q2","Silent",19176122,20608330,4570868,1181175,3050626,4573674,2442984,4789002,1432208,1011830,277715,142663
"1995:Q2","BabyBoom",7621822,10254630,3353275,1066777,996819,2437347,996926,1403487,2632808,1978775,589423,64610
"1995:Q2","GenX",476136,923811,400986,236367,0,145031,0,141426,447675,247697,195988,3990
"1995:Q2","Millennial",0,0,0,0,0,0,0,0,0,0,0,0
